,기준연도,학교종류,설립구분,지역,상태,학교,입학금,수업료,등록금,인문사회,자연과학,예체능,공학,의학,온라인,사립구분
0,2019,대학교,사립,경남,기존,가야대학교(김해),360000.0,6717700.0,6717700.0,5973300.0,7198400.0,,,,off,사립
1,2019,대학교,사립,경기,기존,가천대학교,601000.0,8232500.0,8232500.0,7104500.0,8274799.999999999,9173100.0,9076000.0,9768000.0,off,사립
2,2019,대학교,사립,강원,기존,가톨릭관동대학교,462000.0,7183400.0,7183400.0,6157400.0,7438700.0,8214299.999999999,8135400.0,9850000.0,off,사립
3,2019,대학교,사립,충북,기존,가톨릭꽃동네대학교,300000.0,7054300.0,7054300.0,6618000.0,7796000.0,,,,off,사립
4,2019,대학교,사립,경기,기존,가톨릭대학교,598000.0,6919800.0,6919800.0,6122000.0,7457400.0,8562000.0,8284000.0,,off,사립
5,2019,대학교,사립,서울,기존,가톨릭대학교 _제2캠퍼스,598000.0,9114700.0,9114700.0,,8379700.000000001,,,10374000.0,off,사립
6,2019,대학교,사립,서울,기존,가톨릭대학교 _제3캠퍼스,598000.0,6122000.0,6122000.0,6122000.0,,,,,off,사립
7,2019,대학교,사립,서울,기존,감리교신학대학교,391000.0,6156500.0,6156500.0,6156500.0,,,,,off,사립
8,2019,대학교,사립,경기,기존,강남대학교,607000.0,7413700.0,7413700.0,6806000.0,,8909300.0,8638000.0,,off,사립
9,2019,대학교,국립,강원,기존,강릉원주대학교,,4255200.0,4255200.0,3488000.0,4301300.0,5094300.0,4616000.0,7966000.0,off,국공립
10,2019,대학교,국립,강원,기존,강릉원주대학교 _제2캠퍼스,,4290400.0,4290400.0,3488000.0,4298000.0,,4616000.0,,off,국공립
11,2019,대학교,국립,강원,기존,강원대학교,,4049900.0,4049900.0,3426300.0,4253400.0,4579700.0,4434700.0,5758000.0,off,국공립
12,2019,대학교,국립,강원,기존,강원대학교 _제2캠퍼스,,4244000.0,4244000.0,3426800.0,4204400.0,4577200.0,4435200.0,,off,국공립
13,2019,대학교,사립,서울,기존,건국대학교,636000.0,8230900.0,8230900.0,6775600.0,8132800.0,9072000.0,9190500.0,10180000.0,off,사립
14,2019,대학교,사립,충북,기존,건국대학교(글로컬) _분교,636000.0,7909600.0,7909600.0,6720100.0,7958000.0,9021300.0,8982100.0,,off,사립
